Entero en medio pseudo
======================
Medio,Modelo,spent_model,Crecimiento
M9[glc],4416113.xml,333782.xml,0.0
M9[glc],4416113.xml,4419276.xml,0.0
M9[glc],4416113.xml,4343834.xml,0.0
M9[glc],4416113.xml,4461938.xml,0.0
M9[glc],4416113.xml,4370747.xml,0.0
M9[glc],4475144.xml,333782.xml,0.0
M9[glc],4475144.xml,4419276.xml,0.0
M9[glc],4475144.xml,4343834.xml,0.0
M9[glc],4475144.xml,4461938.xml,0.0
M9[glc],4475144.xml,4370747.xml,0.0
M9[glc],4454257.xml,333782.xml,0.0
M9[glc],4454257.xml,4419276.xml,0.0
M9[glc],4454257.xml,4343834.xml,0.0
M9[glc],4454257.xml,4461938.xml,0.0
M9[glc],4454257.xml,4370747.xml,0.0
M9[glc],691423.xml,333782.xml,0.0
M9[glc],691423.xml,4419276.xml,0.0
M9[glc],691423.xml,4343834.xml,0.0
M9[glc],691423.xml,4461938.xml,0.0
M9[glc],691423.xml,4370747.xml,0.0
M9[glc],4399988.xml,333782.xml,0.0
M9[glc],4399988.xml,4419276.xml,0.0
M9[glc],4399988.xml,4343834.xml,0.0
M9[glc],4399988.xml,4461938.xml,0.0
M9[glc],4399988.xml,4370747.xml,0.0
M9[glc],4456892.xml,333782.xml,0.0
M9[glc],4456892.xml,4419276.xml,0.0
M9[glc],4456892.xml,4343834.xml,0.0
M9[glc],4456892.xml,4461938.xml,0.0
M9[glc],4456892.xml,4370747.xml,0.0

Pseudo en medio entero
======================
Medio,Modelo,spent_model,Crecimiento
M9[glc],333782.xml,4475144.xml,0.0
M9[glc],333782.xml,4454257.xml,0.0
M9[glc],333782.xml,691423.xml,0.0
M9[glc],333782.xml,4456892.xml,0.0
M9[glc],4419276.xml,4475144.xml,0.0
M9[glc],4419276.xml,4454257.xml,0.0
M9[glc],4419276.xml,691423.xml,0.0
M9[glc],4419276.xml,4456892.xml,0.0
M9[glc],4343834.xml,4475144.xml,0.0
M9[glc],4343834.xml,4454257.xml,0.0
M9[glc],4343834.xml,691423.xml,0.0
M9[glc],4343834.xml,4456892.xml,0.0
M9[glc],4461938.xml,4475144.xml,0.0
M9[glc],4461938.xml,4454257.xml,0.0
M9[glc],4461938.xml,691423.xml,0.0
M9[glc],4461938.xml,4456892.xml,0.0
M9[glc],4370747.xml,4475144.xml,0.0
M9[glc],4370747.xml,4454257.xml,0.0
M9[glc],4370747.xml,691423.xml,0.0
M9[glc],4370747.xml,4456892.xml,0.0
